round_epochs,val_loss,val_mse,val_mae,loss,mse,mae,activation_1,activation_2,activation_3,batch_size,dropout1,dropout2,epochs,loss-functions,neurons_HL1,neurons_HL2,neurons_HL3,optimizer
940,0.6441510495843975,0.6441510319709778,0.6128523349761963,0.5293721192722728,0.5293721,0.56242394,sigmoid,sigmoid,tanh,500,0.3,0.1,3000,mse,50,20,10,Nadam
1290,0.6545602505720114,0.6545602679252625,0.6003977656364441,0.6007556117468786,0.6007556,0.5856146,tanh,sigmoid,elu,500,0.3,0.2,3000,mse,50,5,None,RMSprop
671,0.6390269929953716,0.6390269994735718,0.5913826823234558,0.4893732726975472,0.4893733,0.54994357,elu,sigmoid,tanh,100,0.1,0.1,3000,mse,50,10,20,Nadam
2726,0.7533178839138219,0.7533178925514221,0.6272850036621094,0.6106463473200977,0.61064625,0.5862218,sigmoid,tanh,tanh,500,0.3,0.0,3000,mse,5,50,10,RMSprop
394,0.6378051389621783,0.6378051042556763,0.5975784063339233,0.47485246444622914,0.47485247,0.54412246,tanh,tanh,tanh,100,0.1,0.3,3000,mse,50,20,50,Nadam
1284,0.6152660855035603,0.6152660846710205,0.5870931148529053,0.5313663239183719,0.5313663,0.5655295,tanh,relu,relu,500,0.2,0.1,3000,mse,20,20,None,RMSprop
402,0.6712944808874209,0.6712945103645325,0.6051902770996094,0.5749671487081908,0.57496715,0.5771502,tanh,relu,sigmoid,100,0.2,0.2,3000,mse,5,20,None,Adam
301,1.1154332603236465,1.1154333353042603,0.6979201436042786,0.9717710535571782,0.97177124,0.66821325,elu,sigmoid,elu,250,0.1,0.2,3000,mse,50,10,5,sgd
817,0.6256458884709165,0.6256458759307861,0.5909087061882019,0.509524659225773,0.50952464,0.5546696,elu,tanh,sigmoid,100,0.1,0.0,3000,mse,50,5,5,Nadam
2785,0.6713687728867683,0.6713687777519226,0.6055210828781128,0.5218396823027891,0.52183974,0.5610201,relu,relu,elu,500,0.3,0.1,3000,mse,20,50,20,sgd
